text,hour,emoji_1,emoji_2,emoji_3,emoji_4,total
"Neste domingo, em Temperatura Máxima e Campeões de Bilheteria, eu exibo esses dois filmes",12:07,❤,👍,😮,😂,1182
Olhem só pra esse elenco,18:05,❤,😍,👍,😂,1125
O Altas Horas de hoje celebra a música romântica brasileira com as presenças de Fábio Jr,15:13,❤,😂,👍,😮,936
Anely e Natercinho se casam hoje em Terra e Paixão,12:34,❤,😂,👍,😮,1512
PIPOCA: Lucas Luigi é do Rio de Janeiro e ama curtir a família,21:53,❤,👍,😮,😂,1077
CAMAROTE: Rodriguinho é de Bauru (SP) e fez parte dos Travessos,21:34,❤,👍,😮,😂,668
"PIPOCA: Alane é de Belém, tem 24 anos e é conhecida como a Bruna Marquezine do Pará",19:52,❤,👍,😂,😮,833
PIPOCA: Nizam tá cheio de dívidas e precisa do prêmio mais que tudo,19:05,❤,👍,😂,😮,626
PIPOCA: Matteus tem 27 anos e é de Alegrete (RS),18:31,❤,😮,👍,😂,1073
"PIPOCA: Marcus Vinicius é comissário de voo e não quer pouco da vida não, viu",17:46,❤,👍,😂,😮,699
